#,Date,DOB,wt,time,cond,vol,foodS,foodE,waterS,waterE
171-18,2/28/2020,9/3/2018,60.4,2:04,exp,0.6,106.2,106.2,20,20
41-19,2/28/2020,4/6/2019,61,2:07,exp,0.61,95.9,95.9,19.6,19.6
41-20,2/28/2020,4/18/2020,67.3,2:09,exp,0.67,99,99,20.4,20.4
