#,Date,DOB,wt,time,cond,vol,foodS,foodE,waterS,waterE
22-20,7/27/2020,2/28/2020,76.1,2:04,control,0.77,100.5,105.1,21.6,21.6
25-20,7/27/2020,2/28/2020,77.1,2:06,exp,0.77,96.3,98.1,24.4,24.4
45-19,7/27/2020,4/7/2019,42.8,2:08,exp,0.43,107.3,95.1,23,23
